"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"480","Congrats #Bahubali Team, @SrBachchan and @kangna_ranaut #NationalAwards https://t.co/VNtBH8QtFx",FALSE,0,NA,2016-03-28 06:56:54,FALSE,NA,"714345501160660992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PresidentBJP",0,FALSE,FALSE,NA,NA
"481","Congratulations to @BaahubaliMovie  on winning the national award for best film... #Baahubali #Bahubali",FALSE,0,NA,2016-03-28 06:56:02,FALSE,NA,"714345283107160064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imshri09",0,FALSE,FALSE,NA,NA
"482","Haardik badhai shri @SrBachchan &amp; @karanjohar &amp; to the whole #bahubali team. @arrahman you music surely spells magic https://t.co/oaykMkQN8z",FALSE,0,NA,2016-03-28 06:55:21,FALSE,NA,"714345111170195456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rajeevmahatma",0,FALSE,FALSE,NA,NA
"483","Congratulations to #Bahubali Team &amp; #Kanche team https://t.co/IDhtUV3ReH",FALSE,0,NA,2016-03-28 06:54:58,FALSE,NA,"714345014877245440",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ravisarma_dir",0,FALSE,FALSE,NA,NA
"484","#Bahubali Bags National Award | #AmitabhBachchan | #KanganaRanaut | iNews https://t.co/j0byFawEht",FALSE,0,NA,2016-03-28 06:54:16,FALSE,NA,"714344839819567104",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","suryavishnu2014",0,FALSE,FALSE,NA,NA
"485","Best film of d year, special effects:- #Bahubali .Congrats Rajamouli nd the entire team. Happy moment for telugu cinema fans #NationalAwards",FALSE,0,NA,2016-03-28 06:53:11,FALSE,NA,"714344565835051008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sanjayprincefan",0,FALSE,FALSE,NA,NA
"486","#Bahubali a global phenomenon in the purest sense, most deservingly won the #NationalAwards as the Best Film. https://t.co/Fz58iK7dq3",FALSE,0,NA,2016-03-28 06:53:02,FALSE,NA,"714344528862388224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Iam_BigV",0,FALSE,FALSE,NA,NA
"487","#63nationalawards congratulations to all the winners @SrBachchan @ssrajamouli #visaranai #bahubali #kankana #pathemari",FALSE,0,NA,2016-03-28 06:52:57,FALSE,NA,"714344508230598656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","swaathinath",0,FALSE,FALSE,NA,NA
"488","Congrats to team #bahubali @ssrajamouli",FALSE,5,NA,2016-03-28 06:52:38,FALSE,NA,"714344429616648192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LakshmyRamki",1,FALSE,FALSE,NA,NA
"489","A real proud moment for all Telugu people.Congrts to team #Bahubali and team #kanche. @IAmVarunTej @ssrajamouli https://t.co/CazEUYyV6t",FALSE,2,NA,2016-03-28 06:51:00,FALSE,NA,"714344017719197696",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","iipawankalyan",0,FALSE,FALSE,NA,NA
"490","@RGVzoomin I think only Oscar can justice @ssrajamouli n his #bahubali team. Thy shud return back national awrd as it's not an ordinary film",FALSE,1,"RGVzoomin",2016-03-28 06:49:58,FALSE,"714339229334016000","714343756418260992","43017766","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SKengond",0,FALSE,FALSE,NA,NA
"491","#bahubali Best VFX, anticipated, prayed for, so well deserved @srinivas_mohan fourth national award! #VFX So proud",FALSE,0,NA,2016-03-28 06:49:39,FALSE,NA,"714343676550316032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AsmitaMadhu",1,FALSE,FALSE,NA,NA
"492","A real proud moment for all Telugu people.Congrts to team #Bahubali and team #kanche. @IAmVarunTej @ssrajamouli https://t.co/wmi8xIKPL5",FALSE,1,NA,2016-03-28 06:49:37,FALSE,NA,"714343669482987520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iipawankalyan",0,FALSE,FALSE,NA,NA
"493","@ssrajamouli You made all our #Telugu people so proud..
#Jakkanna chekkina National award shilpam #bahubali",FALSE,0,"ssrajamouli",2016-03-28 06:48:58,FALSE,NA,"714343506999771136","136479128","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iamSHIVAakaSH",0,FALSE,FALSE,NA,NA
"494","#bahubali best film  #NationalAwards Thanks  @ssrajamouli sir for making evry1 proud about telugu cinema.@tamannaahspeaks #Prabhas #Anushka",FALSE,1,NA,2016-03-28 06:48:36,FALSE,NA,"714343413550702592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mmanikannth",0,FALSE,FALSE,NA,NA
"495","Congrats #NationaAwrds winners @SrBachchan #SanjayleelaBhansali #Bahubali  #KanganaRanaut",FALSE,1,NA,2016-03-28 06:48:15,FALSE,NA,"714343324820250624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jhashyam",0,FALSE,FALSE,NA,NA
"496","#Congratulations! #bahubali team for #winning #bestmovie #NationalAward from the #RateIt team. @ssrajamouli @RanaDaggubati @tamannaahspeaks",FALSE,0,NA,2016-03-28 06:48:04,FALSE,NA,"714343280255770625",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rateitws",0,FALSE,FALSE,NA,NA
"497","Congratulations @ssrajamouli for the #NationalAward #Bahubali  https://t.co/OxAQXMSJWT",FALSE,1,NA,2016-03-28 06:47:14,FALSE,NA,"714343069189996545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","darshan_h_sheth",0,FALSE,FALSE,NA,NA
